image,state,vessel_type,size_estimate,cargo,q1,q2,q3,q4,q5
synthetic/aground_seq_fail_01.jpg,aground,merchant/commercial,medium (10-50m),unknown,,,,,
synthetic/aground_seq_fail_02.jpg,aground,merchant/commercial,medium (10-50m),unknown,,,,,
synthetic/aground_mth_fail_01.jpg,aground,merchant/commercial,medium (10-50m),unknown,,,,,
synthetic/aground_mth_fail_02.jpg,aground,merchant/commercial,large (>50m),present,,,,,
synthetic/aground_mth_fail_03.jpg,aground,merchant/commercial,medium (10-50m),unknown,,,,,
synthetic/aground_mth_fail_04.jpg,aground,merchant/commercial,medium (10-50m),unknown,,,,,
synthetic/aground_spc_fail_01.jpg,aground,merchant/commercial,medium (10-50m),unknown,,,,,
synthetic/aground_correct_01.jpg,aground,merchant/commercial,medium (10-50m),unknown,,,,,
synthetic/capsized_seq_fail_01.jpg,capsized,passenger,large (>50m),absent,,,,,
synthetic/capsized_seq_fail_02.jpg,capsized,merchant/commercial,medium (10-50m),unknown,,,,,
synthetic/capsized_mth_fail_01.jpg,capsized,fishing,small (<10m),absent,,,,,
synthetic/capsized_mth_fail_02.jpg,capsized,merchant/commercial,medium (10-50m),unknown,,,,,
synthetic/capsized_mth_fail_03.jpg,capsized,fishing,small (<10m),absent,,,,,
synthetic/capsized_spc_fail_01.jpg,capsized,merchant/commercial,medium (10-50m),unknown,,,,,
synthetic/capsized_correct_01.jpg,capsized,merchant/commercial,medium (10-50m),unknown,,,,,
synthetic/sunken_seq_fail_01.jpg,sunken,merchant/commercial,medium (10-50m),present,,,,,
synthetic/sunken_seq_fail_02.jpg,sunken,merchant/commercial,medium (10-50m),present,,,,,
synthetic/sunken_mth_fail_01.jpg,sunken,merchant/commercial,medium (10-50m),present,,,,,
synthetic/sunken_mth_fail_02.jpg,sunken,merchant/commercial,medium (10-50m),present,,,,,
synthetic/sunken_mth_fail_03.jpg,sunken,merchant/commercial,medium (10-50m),present,,,,,
synthetic/sunken_mth_fail_04.jpg,sunken,merchant/commercial,medium (10-50m),present,,,,,
synthetic/sunken_mth_fail_05.jpg,sunken,merchant/commercial,medium (10-50m),present,,,,,
synthetic/sunken_mth_fail_06.jpg,sunken,military/naval,medium (10-50m),unknown,,,,,
synthetic/sunken_spc_fail_01.jpg,sunken,merchant/commercial,medium (10-50m),present,,,,,
synthetic/sunken_correct_01.jpg,sunken,merchant/commercial,medium (10-50m),present,,,,,
synthetic/fire_seq_fail_01.jpg,on_fire,merchant/commercial,medium (10-50m),absent,,,,,
synthetic/fire_seq_fail_02.jpg,on_fire,merchant/commercial,medium (10-50m),present,,,,,
synthetic/fire_mth_fail_01.jpg,on_fire,merchant/commercial,medium (10-50m),absent,,,,,
synthetic/fire_mth_fail_02.jpg,on_fire,merchant/commercial,medium (10-50m),present,,,,,
synthetic/fire_mth_fail_03.jpg,on_fire,merchant/commercial,medium (10-50m),absent,,,,,
synthetic/fire_mth_fail_04.jpg,on_fire,merchant/commercial,medium (10-50m),present,,,,,
synthetic/fire_spc_fail_01.jpg,on_fire,merchant/commercial,medium (10-50m),absent,,,,,
synthetic/fire_correct_01.jpg,on_fire,merchant/commercial,medium (10-50m),present,,,,,
