id,category,rule,severity,source
S1,sequence,equalize_pressure before any atmosphere test,critical,[SH 1-2.6.2]
S2,sequence,Test order: explosive -> oxygen -> toxic,critical,[SH 1-2.6.2]
S3,sequence,Space confirmed gas-free before entry or hot work,critical,[SH 1-2.7]
S4,sequence,Personnel confirmed clear before CO2 release,critical,[FSS 2.1.3.2]
S5,sequence,Pre-discharge alarm >= 20s before release,critical,[FSS 2.1.3.2]
S6,sequence,Stability verified against IS criteria before righting,method,[IS 2.2]
S7,sequence,Dewater or press tanks full before righting,method,[SRG]
S8,sequence,Crew rescue before righting,method,[SH]
S9,sequence,All tanks sounded for fuel/hazmat before cutting or movement,method,[SH]
S10,sequence,R reduced to planned point before pulling (lighter/dredge first),method,[SM 9-3.6]
S11,sequence,Vessel stabilized before pulling with tugs,method,[SM 8-3.2 CAUTION]
S12,sequence,Boundaries sealed before gas flooding,method,[FSS 2.2.1]
S13,sequence,Post-operation assessment before tow,method,[SH]
S14,sequence,Impalement removed before pulling,method,[SH 4-3.1.1]
M1,method,"Machinery-space fire: gas flooding or high-expansion foam are both valid; low-expansion/standard foam is not",method,[FSS 6/2.2.1.2]
M2,method,Hard substrate (rock/coral): dredging or rock removal required before pull,method,[SH 4-5.3]
M3,method,Tug class matches exposure -- harbour tug for sheltered water; ocean salvage tug for open water,method,[AUTHORED]
M4,method,Lightering must specify position; removal at the neutral point yields dR=0, removal aft of it increases R,method,[SH 4-2.5]
M5,method,Righting method matches orientation and size (parbuckle / crane / deballast / manual),method,[AUTHORED]
M6,method,Oil response matches density state -- booms/skimmers are useless once rho > ~1.025 g/ml,method,[OG 2.1]
M7,method,Alcohol-resistant foam required for polar-solvent cargo,method,[AUTHORED]
M8,method,Monitors are boundary cooling only; directing them into the fire space adds water without suppression,method,[AUTHORED]
C1,completeness,Fuel offloaded before hull disturbance,completeness,[SH]
C2,completeness,Cargo / hazardous material accounted for,completeness,[SH]
C3,completeness,Post-operation assessment performed,completeness,[SH]
C4,completeness,Tow to repair yard / safe haven arranged,completeness,[AUTHORED]
C5,completeness,Personnel accounted for,completeness,[AUTHORED]
C6,completeness,NEBA documented where habitat is sensitive,completeness,[OG]
